time,Vel
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0.194444444444444
22,0.583333333333333
23,2.55555555555556
24,4.33333333333333
25,5.5
26,5.5
27,6.30555555555556
28,7.08333333333333
29,8.27777777777778
30,9.44444444444444
31,10.25
32,10.6388888888889
33,11.2222222222222
34,12
35,12.8055555555556
36,12.8055555555556
37,12.8055555555556
38,12.3888888888889
39,12.8055555555556
40,13.3888888888889
41,13.5833333333333
42,13.3888888888889
43,13
44,12.3888888888889
45,11.8055555555556
46,11.6111111111111
47,11.4166666666667
48,11.0277777777778
49,10.0277777777778
50,9.63888888888889
51,9.63888888888889
52,10.25
53,10.0277777777778
54,10.0277777777778
55,9.63888888888889
56,9.05555555555556
57,8.08333333333333
58,6.69444444444444
59,5.72222222222222
60,4.33333333333333
61,3.13888888888889
62,2.55555555555556
63,2.55555555555556
64,2.55555555555556
65,2.75
66,2.94444444444444
67,3.33333333333333
68,3.13888888888889
69,2.16666666666667
70,0.388888888888889
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0.194444444444444
94,0.583333333333333
95,2.55555555555556
96,4.33333333333333
97,5.5
98,5.5
99,6.30555555555556
100,7.08333333333333
101,8.27777777777778
102,9.44444444444444
103,10.25
104,10.6388888888889
105,11.2222222222222
106,12
107,12.8055555555556
108,12.8055555555556
109,12.8055555555556
110,12.3888888888889
111,12.8055555555556
112,13.3888888888889
113,13.5833333333333
114,13.3888888888889
115,13
116,12.3888888888889
117,11.8055555555556
118,11.6111111111111
119,11.4166666666667
120,11.0277777777778
121,10.0277777777778
122,9.63888888888889
123,9.63888888888889
124,10.25
125,10.0277777777778
126,10.0277777777778
127,9.63888888888889
128,9.05555555555556
129,8.08333333333333
130,6.69444444444444
131,5.72222222222222
132,4.33333333333333
133,3.13888888888889
134,2.55555555555556
135,2.55555555555556
136,2.55555555555556
137,2.75
138,2.94444444444444
139,3.33333333333333
140,3.13888888888889
141,2.16666666666667
142,0.388888888888889
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0.194444444444444
154,0.416666666666667
155,1.22222222222222
156,1.63888888888889
157,2.02777777777778
158,2.63888888888889
159,2.25
160,1.02777777777778
161,0.805555555555555
162,1.22222222222222
163,0.194444444444444
164,0
165,0
166,0.611111111111111
167,0.611111111111111
168,0.805555555555555
169,2.02777777777778
170,1.63888888888889
171,2.02777777777778
172,2.44444444444444
173,3.05555555555556
174,4.27777777777778
175,3.86111111111111
176,3.25
177,3.05555555555556
178,1.41666666666667
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0.194444444444444
209,3.05555555555556
210,3.66666666666667
211,3.86111111111111
212,4.08333333333333
213,4.27777777777778
214,4.69444444444444
215,4.47222222222222
216,4.27777777777778
217,3.86111111111111
218,3.66666666666667
219,3.66666666666667
220,4.27777777777778
221,4.69444444444444
222,4.47222222222222
223,4.08333333333333
224,3.66666666666667
225,3.86111111111111
226,4.08333333333333
227,5.08333333333333
228,6.11111111111111
229,8.36111111111111
230,8.97222222222222
231,8.97222222222222
232,10.5833333333333
233,10.5833333333333
234,10.5833333333333
235,10.5833333333333
236,10.8055555555556
237,11
238,11.1944444444444
239,11.1944444444444
240,11.4166666666667
241,12.0277777777778
242,12.4166666666667
243,12.6388888888889
244,12.2222222222222
245,12.2222222222222
246,12.0277777777778
247,11.6111111111111
248,10.8055555555556
249,9.58333333333333
250,9.16666666666667
251,9.36111111111111
252,10.1944444444444
253,10.3888888888889
254,11.1944444444444
255,11.4166666666667
256,11.4166666666667
257,10.8055555555556
258,10.3888888888889
259,9.97222222222222
260,9.58333333333333
261,8.97222222222222
262,8.55555555555556
263,7.75
264,7.33333333333333
265,6.72222222222222
266,6.52777777777778
267,6.30555555555556
268,5.91666666666667
269,5.30555555555556
270,4.69444444444444
