time,Vel
0,0
1,0.89408
2,1.78816
3,2.68224
4,3.57632
5,4.4704
6,5.36448
7,6.25856
8,7.15264
9,8.04672
10,8.9408
11,8.9408
12,8.9408
13,8.9408
14,8.9408
15,8.9408
16,8.9408
17,8.9408
18,8.9408
19,8.9408
20,8.9408
21,8.9408
22,8.9408
23,8.9408
24,8.9408
25,8.9408
26,8.9408
27,8.9408
28,8.9408
29,8.9408
30,7.15264
31,4.91744
32,3.12928
33,0.89408
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0.89408
42,1.78816
43,2.68224
44,3.57632
45,4.4704
46,5.36448
47,6.25856
48,7.15264
49,8.04672
50,8.9408
51,8.9408
52,8.9408
53,8.9408
54,8.9408
55,8.9408
56,8.9408
57,8.9408
58,8.9408
59,8.9408
60,8.9408
61,8.9408
62,8.9408
63,8.9408
64,8.9408
65,8.9408
66,8.9408
67,8.9408
68,8.9408
69,8.9408
70,7.15264
71,4.91744
72,3.12928
73,0.89408
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0.89408
82,1.78816
83,2.68224
84,3.57632
85,4.4704
86,5.36448
87,6.25856
88,7.15264
89,8.04672
90,8.9408
91,8.9408
92,8.9408
93,8.9408
94,8.9408
95,8.9408
96,8.9408
97,8.9408
98,8.9408
99,8.9408
100,8.9408
101,8.9408
102,8.9408
103,8.9408
104,8.9408
105,8.9408
106,8.9408
107,8.9408
108,8.9408
109,8.9408
110,7.15264
111,4.91744
112,3.12928
113,0.89408
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0.89408
122,1.78816
123,2.68224
124,3.57632
125,4.4704
126,5.36448
127,6.25856
128,7.15264
129,8.04672
130,8.9408
131,8.9408
132,8.9408
133,8.9408
134,8.9408
135,8.9408
136,8.9408
137,8.9408
138,8.9408
139,8.9408
140,8.9408
141,8.9408
142,8.9408
143,8.9408
144,8.9408
145,8.9408
146,8.9408
147,8.9408
148,8.9408
149,8.9408
150,7.15264
151,4.91744
152,3.12928
153,0.89408
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0.89408
162,1.78816
163,2.68224
164,3.57632
165,4.4704
166,5.36448
167,6.25856
168,7.15264
169,8.04672
170,8.9408
171,8.9408
172,8.9408
173,8.9408
174,8.9408
175,8.9408
176,8.9408
177,8.9408
178,8.9408
179,8.9408
180,8.9408
181,8.9408
182,8.9408
183,8.9408
184,8.9408
185,8.9408
186,8.9408
187,8.9408
188,8.9408
189,8.9408
190,7.15264
191,4.91744
192,3.12928
193,0.89408
194,0
195,0
196,0
197,0
198,0
199,0
