time,Vel
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0.044704
10.5,0.044704
10.6,0.0447040000000008
10.7,0.089408
10.8,0.089408
10.9,0.089408
11,0.134112
11.1,0.134112
11.2,0.134112000000001
11.3,0.178816
11.4,0.178816
11.5,0.178816
11.6,0.22352
11.7,0.22352
11.8,0.22352
11.9,0.268224
12,0.268224
12.1,0.268224000000001
12.2,0.312928000000002
12.3,0.402336
12.4,0.491744
12.5,0.625856
12.6,0.715264000000002
12.7,0.804672000000002
12.8,0.938784
12.9,1.028192
13,1.1176
13.1,1.251712
13.2,1.34112
13.3,1.430528
13.4,1.519936
13.5,1.654048
13.6,1.743456
13.7,1.832864
13.8,1.922272
13.9,2.01168
14,2.101088
14.1,2.190496
14.2,2.324608
14.3,2.414016
14.4,2.503424
14.5,2.592832
14.6,2.68224
14.7,2.771648
14.8,2.861056
14.9,2.995168
15,3.084576
15.1,3.173984
15.2,3.263392
15.3,3.486912
15.4,3.710432
15.5,3.933952
15.6,4.112768
15.7,4.336288
15.8,4.559808
15.9,4.783328
16,5.006848
16.1,5.230368
16.2,5.453888
16.3,5.498592
16.4,5.543296
16.5,5.632704
16.6,5.677408
16.7,5.766816
16.8,5.81152
16.9,5.900928
17,5.945632
17.1,5.990336
17.2,6.079744
17.3,6.124448
17.4,6.213856
17.5,6.25856
17.6,6.347968
17.7,6.392672
17.8,6.437376
17.9,6.526784
18,6.571488
18.1,6.660896
18.2,6.7056
18.3,6.839712
18.4,6.973824
18.5,7.107936
18.6,7.242048
18.7,7.37616
18.8,7.510272
18.9,7.644384
19,7.778496
19.1,7.912608
19.2,8.04672
19.3,8.136128
19.4,8.22553600000001
19.5,8.359648
19.6,8.449056
