time,Vel
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,2.145792
17,4.291584
18,4.828032
19,4.738624
20,4.559808
21,4.291584
22,4.02336
23,4.112768
24,4.828032
25,5.632704
26,5.096256
27,3.486912
28,1.877568
29,1.34112
30,0.804672
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,2.145792
62,4.291584
63,6.7056
64,7.063232
65,6.884416
66,6.347968
67,5.990336
68,6.347968
69,7.242048
70,7.063232
71,6.884416
72,6.437376
73,6.079744
74,6.169152
75,7.778496
76,9.477248
77,10.72896
78,12.338304
79,13.4112
80,13.768832
81,13.679424
82,12.606528
83,11.980672
84,12.606528
85,13.232384
86,13.4112
87,12.427712
88,11.62304
89,10.907776
90,8.851392
91,7.15264
92,5.990336
93,5.36448
94,3.486912
95,2.2352
96,1.34112
97,0.715264
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,2.145792
167,4.291584
168,4.91744
169,4.738624
170,4.380992
171,2.861056
172,1.34112
173,1.251712
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,2.145792
212,4.291584
213,6.526784
214,6.616192
215,6.437376
216,6.169152
217,6.079744
218,6.169152
219,6.884416
220,6.795008
221,6.347968
222,5.453888
223,3.933952
224,2.950464
225,1.34112
226,1.251712
227,0.357632
228,0
229,0
230,0
231,0
232,0
233,0.625856
234,2.861056
235,4.4704
236,4.559808
237,3.665728
238,2.414016
239,2.056384
240,1.966976
241,2.324608
242,3.397504
243,4.112768
244,3.933952
245,3.308096
246,1.877568
247,1.34112
248,0.89408
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,2.145792
287,4.291584
288,6.7056
289,6.795008
290,6.526784
291,6.079744
292,6.169152
293,6.437376
294,7.063232
295,6.437376
296,4.91744
297,3.218688
298,1.34112
299,1.251712
300,0.268224
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,2.145792
332,4.291584
333,7.063232
334,7.331456
335,6.973824
336,6.437376
337,5.990336
338,6.079744
339,7.242048
340,7.15264
341,6.795008
342,6.437376
343,5.990336
344,4.828032
345,3.039872
346,1.34112
347,1.251712
348,0.715264
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,2.145792
392,4.291584
393,4.828032
394,4.738624
395,4.4704
396,4.202176
397,3.933952
398,3.755136
399,3.844544
400,5.275072
401,5.990336
402,5.36448
403,3.755136
404,1.877568
405,1.34112
406,1.162304
407,0.268224
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
